Group,MAG,Completeness,Contamination,Strain_Heterogeneity,N50,Assembly_Type,Assembly_Source,Contig_count,Assembly_size
HQ Winners,39-1_8_BAPx20.SR_plate,99.25,0,0,1628666,MetaSPAdes (SR),Plate,10,3155281
HQ Winners,40-1_35x36_sub.LR_stool,99.25,0,0,2777616,MetaFlye2 (LR),Stool,8,4782574
HQ Winners,43-1_12_LKVxbin.5_sub.SR_plate,99.25,0,0,530086,MetaSPAdes (SR),Plate,23,5488480
HQ Winners,43-1_21_WCx13.SR_plate,99.25,0,0,219624,MetaSPAdes (SR),Plate,33,3006223
HQ Winners,43-2_12x54.SR_stool,99.25,0,0,396812,MetaSPAdes (SR),Stool,30,5537072
HQ Winners,47-2_17_DPx39.LR_plate,99.25,0,0,4809596,MetaFlye2 (LR),Plate,5,4935993
HQ Winners,C014-M27_WCxbin.3.SR_plate,99.25,0,0,155099,MetaSPAdes (SR),Plate,62,5154330
HQ Winners,C039-M24_stoolxbin.5.SR_stool,99.25,0,0,375647,MetaSPAdes (SR),Stool,22,4717660
HQ Winners,C047-M24_stoolx93.SR_stool,99.25,0,0,326060,MetaSPAdes (SR),Stool,35,5483505
HQ Winners,08-1_6_LKVx8.SR_plate,99.26,0,0,1157181,MetaSPAdes (SR),Plate,10,5210803
HQ Winners,08-2_N6_LKVx08-2_N6_LKV.001.SR_plate,99.26,0,0,942518,MetaSPAdes (SR),Plate,19,5345538
HQ Winners,14-1_11x14-1_early__14-1_11.008.LR_stool,99.26,0,0,4234139,MetaFlye2 (LR),Stool,7,4398310
HQ Winners,14-2_95_BAPx14-2_95_BAP.003.SR_plate,99.26,0,0,585217,MetaSPAdes (SR),Plate,28,5282476
HQ Winners,17-1_97x17-1_97_BAP_17-1_97_BAP.002.LR_plate,99.26,0,0,832431,MetaFlye2 (LR),Plate,30,5583917
HQ Winners,39-2_88_LKVx39-2_88_LKV.001.SR_plate,99.26,0,0,815229,MetaSPAdes (SR),Plate,29,5295121
HQ Winners,43-1_34xbin.1.LR_plate,99.26,0,0,2661080,MetaFlye2 (LR),Plate,3,5255311
HQ Winners,43-2_36x12.LR_plate,99.26,0,0,754086,MetaFlye2 (LR),Plate,10,3658479
HQ Winners,43-2_N15_DP_BAPcstx43-2_N15_DP_BAPcst.001.SR_plate,99.26,0,0,1450171,MetaSPAdes (SR),Plate,21,5345615
HQ Winners,47-2_7_LKVx47-2_7_LKV.003.SR_plate,99.26,0,0,3517510,MetaSPAdes (SR),Plate,7,4927418
HQ Winners,C014-M00_stoolxbin.129.SR_stool,99.26,0,0,365904,MetaSPAdes (SR),Stool,21,4213866
HQ Winners,C020-M24xC020__C020-M24.001.LR_stool,99.26,0,0,1345085,MetaFlye2 (LR),Stool,14,5350943
HQ Winners,C039-M06_WCxbin.6.SR_plate,99.26,0,0,825910,MetaSPAdes (SR),Plate,13,5429894
HQ Winners,C047-M00xC047__C047-M00.003.LR_stool,99.26,0,0,4913146,MetaFlye2 (LR),Stool,12,4977600
HQ Winners,20-2_14xbin.43.LR_stool,99.27,0,0,3706341,MetaFlye2 (LR),Stool,2,3713122
HQ Winners,19-2_95x78.SR_stool,99.29,0,0,111267,MetaSPAdes (SR),Stool,40,2346805
HQ Winners,39-2_N11_DP_LKVx39-2_N11_DP_LKV.002.SR_plate,99.29,0,0,2221820,MetaSPAdes (SR),Plate,6,2909609
HQ Winners,43-2_94xbin.62.SR_stool,99.29,0,0,103899,MetaSPAdes (SR),Stool,37,2097125
HQ Winners,C017-M23_stoolxC017-M23_stool.023.SR_stool,99.29,0,0,1322717,MetaSPAdes (SR),Stool,15,2480847
HQ Winners,08-1_36_stoolxbin.39_sub.SR_stool,99.3,0,0,44728,MetaSPAdes (SR),Stool,130,2849037
HQ Winners,17-1_36_WCx17-1_36_WC.001.SR_plate,99.3,0,0,275928,MetaSPAdes (SR),Plate,38,4758619
HQ Winners,29-1_33_BAPx29-1_33_BAP.009.SR_plate,99.3,0,0,413384,MetaSPAdes (SR),Plate,26,4706195
HQ Winners,39-2_10x39-2_early__39-2_10.007_sub.LR_stool,99.3,0,0,2389603,MetaFlye2 (LR),Stool,5,3150115
HQ Winners,40-1_35_BAPx13.SR_plate,99.3,0,0,231589,MetaSPAdes (SR),Plate,22,1914505
HQ Winners,40-1_9x40.SR_stool,99.3,0,0,104775,MetaSPAdes (SR),Stool,69,4357126
HQ Winners,40-2_16_DP_BAPcstx40-2_16_DP_BAPcst.004.SR_plate,99.3,0,0,1002347,MetaSPAdes (SR),Plate,19,4567981
HQ Winners,40-2_35_BAPx40-2_35_BAP.002.SR_plate,99.3,0,0,1080076,MetaSPAdes (SR),Plate,16,2062907
HQ Winners,43-1_8_DP_BAPcstx43-1_8_DP_BAPcst.004.SR_plate,99.3,0,0,943642,MetaSPAdes (SR),Plate,20,4401726
HQ Winners,8-2_11_DP_BAPcstxbin.21.SR_plate,99.3,0,0,311151,MetaSPAdes (SR),Plate,18,4304186
HQ Winners,C008-M06_BAPx14.SR_plate,99.3,0,0,1329462,MetaSPAdes (SR),Plate,8,1976550
HQ Winners,C043-M24_BAPxC043-M24_BAP.002.SR_plate,99.3,0,0,128549,MetaSPAdes (SR),Plate,29,1851599
HQ Winners,C047-M07_BAPx15.SR_plate,99.3,0,0,1055613,MetaSPAdes (SR),Plate,9,1858300
HQ Winners,14-2_11x14-2_early__14-2_11.010.LR_stool,99.31,0,0,3786976,MetaFlye2 (LR),Stool,2,3820220
HQ Winners,17-2_16_stoolx17-2_16_stool.015.SR_stool,99.31,0,0,2222291,MetaSPAdes (SR),Stool,3,2231222
HQ Winners,08-1_14x08-1_14.003.SR_stool,99.32,0,0,132251,MetaSPAdes (SR),Stool,60,3256006
HQ Winners,08-2_11x51.SR_stool,99.32,0,0,226022,MetaSPAdes (SR),Stool,29,2993063
HQ Winners,14-1_14x20.LR_stool,99.32,0,0,1538896,MetaFlye2 (LR),Stool,6,6407631
HQ Winners,17-1_N10_stoolx17-1_N10_stool.012_sub.SR_stool,99.32,0,0,182376,MetaSPAdes (SR),Stool,52,3234492
HQ Winners,19-1_10x19-1_10.005_sub.SR_stool,99.32,0,0,203541,MetaSPAdes (SR),Stool,33,3063280
HQ Winners,19-2_10x7.LR_stool,99.32,0,0,3160151,MetaFlye2 (LR),Stool,1,3160151
HQ Winners,39-1_N14x39-1_N14.003.SR_stool,99.32,0,0,2285142,MetaSPAdes (SR),Stool,22,3313912
HQ Winners,43-1_11x43-1_early__43-1_11.002.LR_stool,99.32,0,0,3212067,MetaFlye2 (LR),Stool,4,3453222
HQ Winners,43-2_12x43-2_12.003.SR_stool,99.32,0,0,3212425,MetaSPAdes (SR),Stool,10,3242063
HQ Winners,47-2_7_stoolx40.SR_stool,99.32,0,0,168777,MetaSPAdes (SR),Stool,67,3534779
HQ Winners,08-1_97xbin.21.SR_stool,99.33,0,0,130277,MetaSPAdes (SR),Stool,29,2837667
HQ Winners,08-2_11x7.SR_stool,99.33,0,0,233365,MetaSPAdes (SR),Stool,31,2807813
HQ Winners,17-1_97x17-1_late__17-1_97.017.LR_stool,99.33,0,0,992525,MetaFlye2 (LR),Stool,8,3147526
HQ Winners,17-2_16x2.LR_stool,99.33,0,0,1953917,MetaFlye2 (LR),Stool,12,2894209
HQ Winners,19-2_12x59.SR_stool,99.33,0,0,154725,MetaSPAdes (SR),Stool,50,3082432
HQ Winners,19-2_36x13.LR_stool,99.33,0,0,814639,MetaFlye2 (LR),Stool,7,3061825
HQ Winners,19-2_95xbin.35.SR_stool,99.33,0,0,167483,MetaSPAdes (SR),Stool,38,3268925
HQ Winners,20-1_97x141.SR_stool,99.33,0,0,432469,MetaSPAdes (SR),Stool,17,3049315
HQ Winners,20-2_35x16.LR_stool,99.33,0,0,1700511,MetaFlye2 (LR),Stool,4,3198780
HQ Winners,29-1_12x29-1_12.007.SR_stool,99.33,0,0,565978,MetaSPAdes (SR),Stool,14,2930324
HQ Winners,39-1_36_stoolx39-1_36_stool.009.SR_stool,99.33,0,0,348335,MetaSPAdes (SR),Stool,16,2942120
HQ Winners,39-2_52xbin.24.SR_stool,99.33,0,0,522204,MetaSPAdes (SR),Stool,11,3147777
HQ Winners,40-1_35_stoolxbin.46.SR_stool,99.33,0,0,597500,MetaSPAdes (SR),Stool,15,2956412
HQ Winners,40-2_10x40-2_10.011.SR_stool,99.33,0,0,1774680,MetaSPAdes (SR),Stool,12,2606491
HQ Winners,40-2_13x66.SR_stool,99.33,0,0,310437,MetaSPAdes (SR),Stool,12,3098112
HQ Winners,43-1_12_stoolx43-1_12_stool.016.SR_stool,99.33,0,0,1310326,MetaSPAdes (SR),Stool,28,3536508
HQ Winners,43-1_73x20.SR_stool,99.33,0,0,154793,MetaSPAdes (SR),Stool,24,2916543
HQ Winners,43-2_12x23.SR_stool,99.33,0,0,1628440,MetaSPAdes (SR),Stool,16,3246794
HQ Winners,C014-M36xC014__C014-M36.011.LR_stool,99.33,0,0,1828812,MetaFlye2 (LR),Stool,9,3399158
HQ Winners,C017-M36x17.SR_stool,99.33,0,0,552335,MetaSPAdes (SR),Stool,19,2857688
HQ Winners,C019-M38xbin.60.SR_stool,99.33,0,0,1578267,MetaSPAdes (SR),Stool,5,3126176
HQ Winners,C020-M36xC020-M36.009.SR_stool,99.33,0,0,332836,MetaSPAdes (SR),Stool,17,3094908
HQ Winners,C029-M36x72.SR_stool,99.33,0,0,736752,MetaSPAdes (SR),Stool,11,3138332
HQ Winners,C043-M01_stoolx124.SR_stool,99.33,0,0,233721,MetaSPAdes (SR),Stool,16,2713178
HQ Winners,C047-M07_stoolxC047-M07_stool.028.SR_stool,99.33,0,0,404152,MetaSPAdes (SR),Stool,36,3384966
HQ Winners,19-2_16x19-2_late__19-2_16.011.LR_stool,99.35,0,0,5079102,MetaFlye2 (LR),Stool,5,5139385
HQ Winners,43-1_81x9.LR_stool,99.35,0,0,1097319,MetaFlye2 (LR),Stool,32,4883622
HQ Winners,08-2_N6x34.LR_stool,99.36,0,0,5959749,MetaFlye2 (LR),Stool,2,6063364
HQ Winners,14-1_11_stoolx83.SR_stool,99.36,0,0,420805,MetaSPAdes (SR),Stool,15,3644716
HQ Winners,14-1_6_stoolx9.SR_stool,99.36,0,0,1858435,MetaSPAdes (SR),Stool,4,2772762
HQ Winners,14-2_6_stoolx14-2_6_stool.005.SR_stool,99.36,0,0,1717428,MetaSPAdes (SR),Stool,16,3011268
HQ Winners,C029-M06x71.SR_stool,99.36,0,0,150503,MetaSPAdes (SR),Stool,36,2994517
HQ Winners,C043-M24x99.SR_stool,99.36,0,0,158589,MetaSPAdes (SR),Stool,33,3005204
HQ Winners,08-1_9x6.LR_stool,99.37,0,0,1391303,MetaFlye2 (LR),Stool,4,3736199
HQ Winners,08-2_9x08-2_9.006.SR_stool,99.37,0,0,496495,MetaSPAdes (SR),Stool,19,3695917
HQ Winners,08-2_N6x08-2_early__08-2_N6.013_sub.LR_stool,99.37,0,0,2276433,MetaFlye2 (LR),Stool,26,4546371
HQ Winners,08-2_N6xbin.24.LR_stool,99.37,0,0,1884251,MetaFlye2 (LR),Stool,7,2726403
HQ Winners,14-1_11_stoolx6.SR_stool,99.37,0,0,214893,MetaSPAdes (SR),Stool,21,2826054
HQ Winners,14-1_N14_stoolx14-1_N14_stool.002.SR_stool,99.37,0,0,423345,MetaSPAdes (SR),Stool,23,4059229
HQ Winners,14-2_11x13.LR_stool,99.37,0,0,2780206,MetaFlye2 (LR),Stool,2,2929358
HQ Winners,17-1_36_stoolx90.SR_stool,99.37,0,0,220678,MetaSPAdes (SR),Stool,23,2846161
HQ Winners,19-1_6_stoolxbin.13.SR_stool,99.37,0,0,560609,MetaSPAdes (SR),Stool,21,4417992
HQ Winners,19-2_10x65.SR_stool,99.37,0,0,405466,MetaSPAdes (SR),Stool,15,3694123
HQ Winners,20-2_15x0.SR_stool,99.37,0,0,1512935,MetaSPAdes (SR),Stool,10,2940734
HQ Winners,20-2_97x42.SR_stool,99.37,0,0,78515,MetaSPAdes (SR),Stool,51,2845559
HQ Winners,29-1_12x3.LR_stool,99.37,0,0,1735564,MetaFlye2 (LR),Stool,6,4472463
HQ Winners,29-2_10x17.SR_stool,99.37,0,0,3812799,MetaSPAdes (SR),Stool,3,4554339
HQ Winners,39-2_8x9.LR_stool,99.37,0,0,3623073,MetaFlye2 (LR),Stool,5,3879432
HQ Winners,40-2_16x7_sub.SR_stool,99.37,0,0,241812,MetaSPAdes (SR),Stool,21,3931486
HQ Winners,43-1_7_stoolx40.SR_stool,99.37,0,0,343837,MetaSPAdes (SR),Stool,19,4019863
HQ Winners,43-1_7_stoolxbin.3.SR_stool,99.37,0,0,819606,MetaSPAdes (SR),Stool,10,3492505
HQ Winners,43-2_7_stoolxbin.16.SR_stool,99.37,0,0,273224,MetaSPAdes (SR),Stool,26,3937680
HQ Winners,C019-M22_stoolxC019-M22_stool.059.SR_stool,99.37,0,0,380335,MetaSPAdes (SR),Stool,44,2643474
HQ Winners,C039-M36_stoolxC039-M36_stool.008.SR_stool,99.37,0,0,239213,MetaSPAdes (SR),Stool,73,3872389
HQ Winners,17-1_6_BAPxbin.5.SR_plate,99.39,0,0,117373,MetaSPAdes (SR),Plate,37,1769286
HQ Winners,19-2_95x19-2_late__19-2_95.007.LR_stool,99.39,0,0,1521983,MetaFlye2 (LR),Stool,3,2324799
HQ Winners,C020-M00xbin.110.SR_stool,99.39,0,0,1239542,MetaSPAdes (SR),Stool,4,2157310
HQ Winners,20-2_10xbin.25.SR_stool,99.4,0,0,127919,MetaSPAdes (SR),Stool,31,2073465
HQ Winners,39-2_3x2.LR_stool,99.4,0,0,2077953,MetaFlye2 (LR),Stool,1,2077953
HQ Winners,40-1_15xbin.6.SR_stool,99.4,0,0,264054,MetaSPAdes (SR),Stool,10,2077357
HQ Winners,14-1_6_stoolxbin.37.SR_stool,99.42,0,0,594181,MetaSPAdes (SR),Stool,16,3032172
HQ Winners,14-2_95_BAPx32_sub.SR_plate,99.42,0,0,268618,MetaSPAdes (SR),Plate,34,3212595
HQ Winners,17-1_36_stoolx17-1_36_stool.006.SR_stool,99.42,0,0,2310796,MetaSPAdes (SR),Stool,2,2328870
HQ Winners,19-2_12x0.SR_stool,99.42,0,0,651557,MetaSPAdes (SR),Stool,8,3320607
HQ Winners,29-1_12x8_sub.LR_stool,99.42,0,0,3421589,MetaFlye2 (LR),Stool,1,3421589
HQ Winners,29-1_33_BAPx2.SR_plate,99.42,0,0,481681,MetaSPAdes (SR),Plate,19,5302454
HQ Winners,39-2_3_stoolxbin.20.SR_stool,99.42,0,0,214865,MetaSPAdes (SR),Stool,34,2965323
HQ Winners,40-1_35_stoolx40-1_35_stool.041.SR_stool,99.42,0,0,636225,MetaSPAdes (SR),Stool,19,4707205
HQ Winners,40-2_16xbin.63.SR_stool,99.42,0,0,407025,MetaSPAdes (SR),Stool,16,2842740
HQ Winners,43-1_12x26.LR_stool,99.42,0,0,1923206,MetaFlye2 (LR),Stool,4,3828323
HQ Winners,43-2_N15_DP_BAPcstx43-2_N15_DP_BAPcst.003.SR_plate,99.42,0,0,332959,MetaSPAdes (SR),Plate,39,3160545
HQ Winners,C039-M24xbin.53.LR_stool,99.42,0,0,587798,MetaFlye2 (LR),Stool,6,3052149
HQ Winners,C043-M24_BAPxbin.1.SR_plate,99.42,0,0,116004,MetaSPAdes (SR),Plate,53,3053340
HQ Winners,14-1_95x92.LR_stool,99.46,0,0,801379,MetaFlye2 (LR),Stool,4,4361815
HQ Winners,14-2_95_stoolx123.SR_stool,99.46,0,0,469358,MetaSPAdes (SR),Stool,15,4446683
HQ Winners,19-1_6_LKVx19-1_6_LKV.001.SR_plate,99.46,0,0,1646598,MetaSPAdes (SR),Plate,6,2921153
HQ Winners,19-2_6_LKVx66.SR_plate,99.46,0,0,1724261,MetaSPAdes (SR),Plate,3,2934377
HQ Winners,20-1_5_LKVx20-1_5_LKV.001.SR_plate,99.46,0,0,275360,MetaSPAdes (SR),Plate,18,2968901
HQ Winners,20-2_N9_DP_LKVx1.SR_plate,99.46,0,0,2731258,MetaSPAdes (SR),Plate,3,2987839
HQ Winners,29-1_12x12.LR_stool,99.46,0,0,2961414,MetaFlye2 (LR),Stool,1,2961414
HQ Winners,29-1_53x29-1_53.018.SR_stool,99.46,0,0,156699,MetaSPAdes (SR),Stool,71,4439114
HQ Winners,29-2_10x14.LR_stool,99.46,0,0,2961434,MetaFlye2 (LR),Stool,2,2992984
HQ Winners,43-1_34x43-1_34_LKV_43-1_34_LKV.001.LR_plate,99.48,0,0,319286,MetaFlye2 (LR),Plate,13,2027501
HQ Winners,17-2_36_BAPxbin.12.SR_plate,99.52,0,0,96877,MetaSPAdes (SR),Plate,51,2870985
HQ Winners,20-2_18x1.SR_stool,99.52,0,0,291424,MetaSPAdes (SR),Stool,19,3110688
HQ Winners,29-1_95xbin.56_sub.SR_stool,99.52,0,0,183674,MetaSPAdes (SR),Stool,23,2978978
HQ Winners,14-2_11_BAPxbin.5.SR_plate,99.53,0,0,309048,MetaSPAdes (SR),Plate,25,3045069
HQ Winners,39-2_24_BAPx39-2_24_BAP.001.SR_plate,99.53,0,0,366097,MetaSPAdes (SR),Plate,35,3157421
HQ Winners,19-1_95x19-1_late__19-1_95.013.LR_stool,99.54,0,0,2291999,MetaFlye2 (LR),Stool,9,2389685
HQ Winners,20-1_97xbin.21.SR_stool,99.54,0,0,268055,MetaSPAdes (SR),Stool,20,2439953
HQ Winners,20-2_47xbin.90.LR_stool,99.54,0,0,2157795,MetaFlye2 (LR),Stool,3,2175438
HQ Winners,39-1_8_BAPxbin.2.SR_plate,99.54,0,0,1460621,MetaSPAdes (SR),Plate,4,2387111
HQ Winners,39-1_94x39-1_late__39-1_94.004.LR_stool,99.54,0,0,2264096,MetaFlye2 (LR),Stool,3,2273443
HQ Winners,39-2_88x4.LR_stool,99.54,0,0,2262913,MetaFlye2 (LR),Stool,2,2292054
HQ Winners,40-1_93x40-1_late__40-1_93.026.LR_stool,99.54,0,0,2166678,MetaFlye2 (LR),Stool,4,2317851
HQ Winners,40-2_10xbin.21.LR_stool,99.54,0,0,2265873,MetaFlye2 (LR),Stool,4,2417974
HQ Winners,43-1_16x43_sub.LR_stool,99.54,0,0,2238273,MetaFlye2 (LR),Stool,3,2288364
HQ Winners,43-2_N15x43-2_N15.012.SR_stool,99.54,0,0,1881096,MetaSPAdes (SR),Stool,2,2177272
HQ Winners,47-1_N13x47-1_N13.005.SR_stool,99.54,0,0,2178091,MetaSPAdes (SR),Stool,3,2422460
HQ Winners,47-2_13x47-2_13.006.SR_stool,99.54,0,0,2431613,MetaSPAdes (SR),Stool,3,2440883
HQ Winners,C040-M06_WCxC040-M06_WC.002.SR_plate,99.54,0,0,2172730,MetaSPAdes (SR),Plate,1,2172730
HQ Winners,C019-M22_stoolx127.SR_stool,99.6,0,0,216223,MetaSPAdes (SR),Stool,20,2151248
HQ Winners,17-1_97x47.LR_stool,99.62,0,0,4119671,MetaFlye2 (LR),Stool,3,4327520
HQ Winners,19-2_95x19-2_95.023.SR_stool,99.62,0,0,1001114,MetaSPAdes (SR),Stool,16,3542236
HQ Winners,20-2_76_WCx20-2_76_WC.005.SR_plate,99.62,0,0,299231,MetaSPAdes (SR),Plate,26,2901367
HQ Winners,29-1_20x29-1_20.023.SR_stool,99.62,0,0,228850,MetaSPAdes (SR),Stool,19,3152005
HQ Winners,39-1_N14_DP_LKVx39-1_N14_DP_LKV.002.SR_plate,99.62,0,0,1033634,MetaSPAdes (SR),Plate,10,6585633
HQ Winners,39-2_N18_LKVxbin.1_sub.SR_plate,99.62,0,0,182395,MetaSPAdes (SR),Plate,61,6429491
HQ Winners,43-1_81_LKVx26_sub.SR_plate,99.62,0,0,553580,MetaSPAdes (SR),Plate,29,4771749
HQ Winners,43-2_36_LKVxbin.6.SR_plate,99.62,0,0,634627,MetaSPAdes (SR),Plate,11,4588825
HQ Winners,47-1_N13x47-1_N13.029.SR_stool,99.62,0,0,491718,MetaSPAdes (SR),Stool,7,3403225
HQ Winners,47-2_37_stoolx47-2_37_stool.025.SR_stool,99.62,0,0,372257,MetaSPAdes (SR),Stool,24,3383041
HQ Winners,C020-M07_WCxC020-M07_WC.003.SR_plate,99.62,0,0,507669,MetaSPAdes (SR),Plate,34,2985868
HQ Winners,C040-M24xbin.44.LR_stool,99.62,0,0,868856,MetaFlye2 (LR),Stool,4,2528146
HQ Winners,14-1_9_stoolxbin.3.SR_stool,99.63,0,0,118895,MetaSPAdes (SR),Stool,28,2564942
HQ Winners,17-1_16_WCx17-1_16_WC.002.SR_plate,99.63,0,0,1481214,MetaSPAdes (SR),Plate,5,2893174
HQ Winners,19-1_10x21.LR_stool,99.63,0,0,2958109,MetaFlye2 (LR),Stool,2,3016831
HQ Winners,19-2_6_WCxbin.1_sub.SR_plate,99.63,0,0,239577,MetaSPAdes (SR),Plate,18,2847890
HQ Winners,20-1_35x20-1_35_WC_20-1_35_WC.001.LR_plate,99.63,0,0,2888797,MetaFlye2 (LR),Plate,3,2960738
HQ Winners,20-2_2xbin.1.LR_stool,99.63,0,0,2947652,MetaFlye2 (LR),Stool,10,3108789
HQ Winners,20-2_39_WCxbin.1.SR_plate,99.63,0,0,88217,MetaSPAdes (SR),Plate,47,2514473
HQ Winners,29-1_10_CMBcst_WCx17.SR_plate,99.63,0,0,671558,MetaSPAdes (SR),Plate,9,2908061
HQ Winners,29-2_14_DP_BAPcstx8.SR_plate,99.63,0,0,302283,MetaSPAdes (SR),Plate,33,3047467
HQ Winners,43-1_21_WCx4.SR_plate,99.63,0,0,755863,MetaSPAdes (SR),Plate,5,2893708
HQ Winners,43-2_12_CMBcst_WCx12.SR_plate,99.63,0,0,169079,MetaSPAdes (SR),Plate,27,2925047
HQ Winners,47-2_13_DP_BAPcstxbin.3.SR_plate,99.63,0,0,261337,MetaSPAdes (SR),Plate,21,3065605
HQ Winners,C047-M00_stoolx61.SR_stool,99.64,0,0,61226,MetaSPAdes (SR),Stool,125,4163108
HQ Winners,39-2_1_BAPx39-2_1_BAP.003_sub.SR_plate,99.67,0,0,102257,MetaSPAdes (SR),Plate,43,2412356
HQ Winners,C017-M06xC017__C017-M06.019.LR_stool,99.68,0,0,2121396,MetaFlye2 (LR),Stool,12,2838771
HQ Winners,17-1_16_WCx17-1_16_WC.001.SR_plate,99.7,0,0,825907,MetaSPAdes (SR),Plate,9,2404724
HQ Winners,43-1_2x54_sub.SR_stool,99.87,0,0,65006,MetaSPAdes (SR),Stool,69,2506805
HQ Winners,29-2_6_stoolx29-2_6_stool.004.SR_stool,99.88,0,0,2152513,MetaSPAdes (SR),Stool,2,2154650
HQ Winners,43-2_12x43-2_12.026.SR_stool,99.88,0,0,307241,MetaSPAdes (SR),Stool,13,1581710
HQ Winners,47-1_13x9.LR_stool,99.88,0,0,2242281,MetaFlye2 (LR),Stool,2,2247712
HQ Winners,47-2_13x47-2_13.004.SR_stool,99.88,0,0,2192521,MetaSPAdes (SR),Stool,7,2268502
HQ Winners,39-2_14x39-2_late__39-2_14.016.LR_stool,99.91,0,0,784711,MetaFlye2 (LR),Stool,21,3467528
HQ Winners,C014-M00_WCx11.SR_plate,99.93,0,0,20696,MetaSPAdes (SR),Plate,246,3332146
HQ Winners,20-2_2_stoolxbin.11.SR_stool,99.94,0,0,1571022,MetaSPAdes (SR),Stool,4,2473847
HQ Winners,08-1_36_WCx08-1_36_WC.001.SR_plate,100,0,0,102426,MetaSPAdes (SR),Plate,31,1827675
HQ Winners,08-1_6x08-1_early__08-1_6.007.LR_stool,100,0,0,3462842,MetaFlye2 (LR),Stool,8,3506581
HQ Winners,08-1_6x08-1_early__08-1_6.011.LR_stool,100,0,0,2622720,MetaFlye2 (LR),Stool,1,2622720
HQ Winners,08-2_11xbin.18.SR_stool,100,0,0,189170,MetaSPAdes (SR),Stool,18,2061126
HQ Winners,08-2_14x08-2_14.001.SR_stool,100,0,0,142510,MetaSPAdes (SR),Stool,114,3469150
HQ Winners,08-2_9x08-2_early__08-2_9.015.LR_stool,100,0,0,2600654,MetaFlye2 (LR),Stool,1,2600654
HQ Winners,08-2_9x81.SR_stool,100,0,0,362254,MetaSPAdes (SR),Stool,24,3707848
HQ Winners,08-2_N6x08-2_N6.015.SR_stool,100,0,0,1889974,MetaSPAdes (SR),Stool,8,2387976
HQ Winners,08-2_N6x17.LR_stool,100,0,0,3360913,MetaFlye2 (LR),Stool,3,3395978
HQ Winners,14-1_11_stoolx14-1_11_stool.016.SR_stool,100,0,0,1897856,MetaSPAdes (SR),Stool,2,1900663
HQ Winners,14-1_11_stoolx14-1_11_stool.024.SR_stool,100,0,0,131231,MetaSPAdes (SR),Stool,48,3057671
HQ Winners,14-1_11_stoolx90.SR_stool,100,0,0,329823,MetaSPAdes (SR),Stool,11,2217538
HQ Winners,14-1_6_stoolx2.SR_stool,100,0,0,150036,MetaSPAdes (SR),Stool,50,3268678
HQ Winners,14-1_95_stoolx14-1_95_stool.029.SR_stool,100,0,0,829511,MetaSPAdes (SR),Stool,13,2518310
HQ Winners,14-1_95x14.LR_stool,100,0,0,621694,MetaFlye2 (LR),Stool,10,2967471
HQ Winners,14-1_9_BAPx6.SR_plate,100,0,0,1932375,MetaSPAdes (SR),Plate,26,2215031
HQ Winners,14-1_9_stoolx14-1_9_stool.006.SR_stool,100,0,0,2486519,MetaSPAdes (SR),Stool,3,2493871
HQ Winners,14-1_9_stoolx27.SR_stool,100,0,0,198142,MetaSPAdes (SR),Stool,15,1914387
HQ Winners,14-1_N14_stoolx48.SR_stool,100,0,0,1461791,MetaSPAdes (SR),Stool,4,2152870
HQ Winners,14-2_11_stoolx30.SR_stool,100,0,0,207028,MetaSPAdes (SR),Stool,25,3059089
HQ Winners,14-2_11_stoolx63.SR_stool,100,0,0,2151230,MetaSPAdes (SR),Stool,3,2159233
HQ Winners,14-2_11x14-2_early__14-2_11.001.LR_stool,100,0,0,1346628,MetaFlye2 (LR),Stool,10,1950371
HQ Winners,14-2_6_BAPx22.SR_plate,100,0,0,1200567,MetaSPAdes (SR),Plate,14,1913514
HQ Winners,14-2_9_BAPx14-2_9_BAP.003.SR_plate,100,0,0,2447383,MetaSPAdes (SR),Plate,3,2454280
HQ Winners,14-2_9x27_sub.LR_stool,100,0,0,2318047,MetaFlye2 (LR),Stool,11,4320665
HQ Winners,17-1_36_stoolxbin.21.SR_stool,100,0,0,58610,MetaSPAdes (SR),Stool,67,2476068
HQ Winners,17-1_36x56.LR_stool,100,0,0,1731444,MetaFlye2 (LR),Stool,5,3278103
HQ Winners,17-1_6_stoolxbin.13.SR_stool,100,0,0,233413,MetaSPAdes (SR),Stool,55,3508845
HQ Winners,17-1_6_WCx17-1_6_WC.001.SR_plate,100,0,0,1913510,MetaSPAdes (SR),Plate,6,1930995
HQ Winners,17-1_N10x11_sub.LR_plate,100,0,0,1640648,MetaFlye2 (LR),Plate,10,2693210
HQ Winners,17-2_11x17-2_early__17-2_11.011.LR_stool,100,0,0,750328,MetaFlye2 (LR),Stool,22,4021887
HQ Winners,17-2_13_stoolxbin.28.SR_stool,100,0,0,115366,MetaSPAdes (SR),Stool,49,3207440
HQ Winners,17-2_16_stoolxbin.35.SR_stool,100,0,0,347254,MetaSPAdes (SR),Stool,17,2688250
HQ Winners,17-2_16x0.LR_plate,100,0,0,2409218,MetaFlye2 (LR),Plate,4,2428723
HQ Winners,17-2_6_WCx17-2_6_WC.001.SR_plate,100,0,0,1674924,MetaSPAdes (SR),Plate,4,1900149
HQ Winners,17-2_N11_stoolx17-2_N11_stool.003.SR_stool,100,0,0,290984,MetaSPAdes (SR),Stool,35,3421660
